trial,cond,face,subj,acc,order,fam,grp
Sneha_0,1,Sneha,12,0,4,6,cbu
Verity_0,1,Verity,12,0,4,4,cbu
Holly_0,1,Holly,12,0,4,4,cbu
Clare_0,1,Clare,12,0,4,10,cbu
Marta_0,1,Marta,12,1,4,2,cbu
Matt_0,1,Matt,12,0,4,10,cbu
Johan_0,1,Johan,13,1,2,7,cbu
Tina_0,1,Tina,13,0,2,6,cbu
Steve_0,1,Steve,13,1,2,6,cbu
Rik_0,1,Rik,13,1,2,7,cbu
Sneha_0,1,Sneha,13,1,2,5,cbu
Verity_0,1,Verity,13,0,2,4,cbu
Holly_0,1,Holly,13,0,2,3,cbu
Clare_0,1,Clare,13,1,2,6,cbu
Marta_0,1,Marta,13,0,2,6,cbu
Matt_0,1,Matt,13,0,2,4,cbu
Johan_0,1,Johan,14,1,4,8,cbu
Tina_0,1,Tina,14,1,4,10,cbu
Steve_0,1,Steve,14,0,4,8,cbu
Rik_0,1,Rik,14,0,4,9,cbu
Sneha_0,1,Sneha,14,0,4,3,cbu
Verity_0,1,Verity,14,0,4,0,cbu
Holly_0,1,Holly,14,0,4,10,cbu
Clare_0,1,Clare,14,0,4,10,cbu
Marta_0,1,Marta,14,1,4,8,cbu
Matt_0,1,Matt,14,0,4,7,cbu
Johan_0,1,Johan,15,1,3,6,cbu
Tina_0,1,Tina,15,0,3,9,cbu
Steve_0,1,Steve,15,1,3,6,cbu
Rik_0,1,Rik,15,1,3,8,cbu
Sneha_0,1,Sneha,15,1,3,4,cbu
Verity_0,1,Verity,15,0,3,4,cbu
Holly_0,1,Holly,15,0,3,3,cbu
Clare_0,1,Clare,15,0,3,9,cbu
Marta_0,1,Marta,15,1,3,8,cbu
Matt_0,1,Matt,15,0,3,10,cbu
Johan_0,1,Johan,16,1,4,8,cbu
Tina_0,1,Tina,16,1,4,5,cbu
Steve_0,1,Steve,16,0,4,6,cbu
Rik_0,1,Rik,16,1,4,7,cbu
Sneha_0,1,Sneha,16,1,4,10,cbu
Verity_0,1,Verity,16,0,4,7,cbu
Holly_0,1,Holly,16,0,4,7,cbu
Clare_0,1,Clare,16,0,4,6,cbu
Marta_0,1,Marta,16,1,4,10,cbu
Matt_0,1,Matt,16,0,4,7,cbu
Johan_0,1,Johan,17,1,2,8,cbu
Tina_0,1,Tina,17,0,2,8,cbu
Steve_0,1,Steve,17,0,2,8,cbu
Rik_0,1,Rik,17,1,2,8,cbu
Sneha_0,1,Sneha,17,0,2,6,cbu
Verity_0,1,Verity,17,0,2,6,cbu
Holly_0,1,Holly,17,1,2,6,cbu
Clare_0,1,Clare,17,1,2,9,cbu
Marta_0,1,Marta,17,1,2,9,cbu
Matt_0,1,Matt,17,0,2,8,cbu
Johan_0,1,Johan,18,1,4,5,cbu
Tina_0,1,Tina,18,0,4,7,cbu
Steve_0,1,Steve,18,0,4,8,cbu
Rik_0,1,Rik,18,0,4,8,cbu
Sneha_0,1,Sneha,18,0,4,6,cbu
Verity_0,1,Verity,18,0,4,5,cbu
Holly_0,1,Holly,18,0,4,5,cbu
Clare_0,1,Clare,18,1,4,7,cbu
Marta_0,1,Marta,18,0,4,7,cbu
Matt_0,1,Matt,18,0,4,7,cbu
Johan_0,1,Johan,19,1,4,7,cbu
Tina_0,1,Tina,19,1,4,7,cbu
Steve_0,1,Steve,19,1,4,2,cbu
Rik_0,1,Rik,19,0,4,7,cbu
Sneha_0,1,Sneha,19,1,4,2,cbu
Verity_0,1,Verity,19,1,4,4,cbu
Holly_0,1,Holly,19,0,4,2,cbu
Clare_0,1,Clare,19,1,4,4,cbu
Marta_0,1,Marta,19,0,4,6,cbu
Matt_0,1,Matt,19,0,4,9,cbu
Johan_0,1,Johan,20,1,1,9,cbu
Tina_0,1,Tina,20,1,1,5,cbu
Steve_0,1,Steve,20,1,1,6,cbu
Rik_0,1,Rik,20,1,1,9,cbu
Sneha_0,1,Sneha,20,1,1,8,cbu
Verity_0,1,Verity,20,0,1,5,cbu
Holly_0,1,Holly,20,0,1,1,cbu
Clare_0,1,Clare,20,1,1,6,cbu
Marta_0,1,Marta,20,0,1,6,cbu
Matt_0,1,Matt,20,0,1,7,cbu
Johan_0,1,Johan,21,1,1,10,cbu
Tina_0,1,Tina,21,1,1,10,cbu
Steve_0,1,Steve,21,0,1,10,cbu
Rik_0,1,Rik,21,1,1,10,cbu
Sneha_0,1,Sneha,21,1,1,7,cbu
Verity_0,1,Verity,21,1,1,7,cbu
Holly_0,1,Holly,21,0,1,10,cbu
Clare_0,1,Clare,21,1,1,10,cbu
Marta_0,1,Marta,21,0,1,9,cbu
Matt_0,1,Matt,21,0,1,9,cbu
Johan_0,1,Johan,22,0,1,8,cbu
Tina_0,1,Tina,22,1,1,8,cbu
Steve_0,1,Steve,22,0,1,10,cbu
Rik_0,1,Rik,22,1,1,10,cbu
Sneha_0,1,Sneha,22,1,1,5,cbu
Verity_0,1,Verity,22,0,1,5,cbu
Holly_0,1,Holly,22,1,1,7,cbu
Clare_0,1,Clare,22,0,1,8,cbu
Marta_0,1,Marta,22,0,1,7,cbu
Matt_0,1,Matt,22,0,1,8,cbu
Johan_0,1,Johan,23,1,2,10,cbu
Tina_0,1,Tina,23,1,2,10,cbu
Steve_0,1,Steve,23,0,2,10,cbu
Rik_0,1,Rik,23,0,2,10,cbu
Sneha_0,1,Sneha,23,1,2,10,cbu
Verity_0,1,Verity,23,1,2,10,cbu
Holly_0,1,Holly,23,1,2,10,cbu
Clare_0,1,Clare,23,0,2,10,cbu
Marta_0,1,Marta,23,1,2,10,cbu
Matt_0,1,Matt,23,1,2,10,cbu
Johan_0,1,Johan,24,1,4,9,cbu
Tina_0,1,Tina,24,1,4,8,cbu
Steve_0,1,Steve,24,1,4,4,cbu
Rik_0,1,Rik,24,1,4,9,cbu
Sneha_0,1,Sneha,24,0,4,5,cbu
Verity_0,1,Verity,24,0,4,5,cbu
Holly_0,1,Holly,24,0,4,4,cbu
Clare_0,1,Clare,24,1,4,6,cbu
Marta_0,1,Marta,24,1,4,6,cbu
Matt_0,1,Matt,24,1,4,8,cbu
Johan_0,1,Johan,25,1,1,9,cbu
Tina_0,1,Tina,25,1,1,8,cbu
Steve_0,1,Steve,25,0,1,7,cbu
Rik_0,1,Rik,25,1,1,9,cbu
Sneha_0,1,Sneha,25,1,1,8,cbu
Verity_0,1,Verity,25,0,1,8,cbu
Holly_0,1,Holly,25,0,1,2,cbu
Clare_0,1,Clare,25,0,1,6,cbu
Marta_0,1,Marta,25,0,1,9,cbu
Matt_0,1,Matt,25,0,1,10,cbu
Johan_0,1,Johan,26,1,2,9,cbu
Tina_0,1,Tina,26,0,2,8,cbu
Steve_0,1,Steve,26,0,2,5,cbu
Rik_0,1,Rik,26,0,2,9,cbu
Sneha_0,1,Sneha,26,1,2,7,cbu
Verity_0,1,Verity,26,0,2,7,cbu
Holly_0,1,Holly,26,0,2,6,cbu
Clare_0,1,Clare,26,0,2,2,cbu
Marta_0,1,Marta,26,1,2,8,cbu
Matt_0,1,Matt,26,0,2,5,cbu
Johan_0,1,Johan,27,1,2,9,cbu
Tina_0,1,Tina,27,1,2,9,cbu
Steve_0,1,Steve,27,1,2,9,cbu
Rik_0,1,Rik,27,1,2,9,cbu
Sneha_0,1,Sneha,27,1,2,9,cbu
Verity_0,1,Verity,27,1,2,9,cbu
Holly_0,1,Holly,27,1,2,8,cbu
Clare_0,1,Clare,27,1,2,9,cbu
Marta_0,1,Marta,27,1,2,9,cbu
Matt_0,1,Matt,27,0,2,9,cbu
Johan_0,1,Johan,28,1,3,10,cbu
Tina_0,1,Tina,28,1,3,8,cbu
Steve_0,1,Steve,28,0,3,10,cbu
Rik_0,1,Rik,28,1,3,8,cbu
Sneha_0,1,Sneha,28,1,3,8,cbu
Verity_0,1,Verity,28,0,3,6,cbu
Holly_0,1,Holly,28,1,3,7,cbu
Clare_0,1,Clare,28,1,3,10,cbu
Marta_0,1,Marta,28,0,3,7,cbu
Matt_0,1,Matt,28,1,3,10,cbu
Johan_0,1,Johan,29,1,2,7,cbu
Tina_0,1,Tina,29,1,2,6,cbu
Steve_0,1,Steve,29,0,2,5,cbu
Rik_0,1,Rik,29,0,2,8,cbu
Sneha_0,1,Sneha,29,1,2,9,cbu
Verity_0,1,Verity,29,1,2,9,cbu
Holly_0,1,Holly,29,0,2,6,cbu
Clare_0,1,Clare,29,1,2,2,cbu
Marta_0,1,Marta,29,1,2,9,cbu
Matt_0,1,Matt,29,0,2,8,cbu
Johan_0,1,Johan,30,1,1,10,cbu
Tina_0,1,Tina,30,0,1,10,cbu
Steve_0,1,Steve,30,0,1,10,cbu
Rik_0,1,Rik,30,1,1,10,cbu
Sneha_0,1,Sneha,30,1,1,10,cbu
Verity_0,1,Verity,30,0,1,10,cbu
Holly_0,1,Holly,30,0,1,10,cbu
Clare_0,1,Clare,30,0,1,10,cbu
Marta_0,1,Marta,30,0,1,10,cbu
Matt_0,1,Matt,30,0,1,10,cbu
Johan_0,1,Johan,31,1,4,8,cbu
Tina_0,1,Tina,31,0,4,8,cbu
Steve_0,1,Steve,31,1,4,4,cbu
Rik_0,1,Rik,31,1,4,10,cbu
Sneha_0,1,Sneha,31,1,4,9,cbu
Verity_0,1,Verity,31,1,4,6,cbu
Holly_0,1,Holly,31,1,4,3,cbu
Clare_0,1,Clare,31,1,4,7,cbu
Marta_0,1,Marta,31,1,4,7,cbu
Matt_0,1,Matt,31,0,4,10,cbu
Johan_0,1,Johan,32,1,3,7,cbu
Tina_0,1,Tina,32,0,3,5,cbu
Steve_0,1,Steve,32,0,3,9,cbu
Rik_0,1,Rik,32,1,3,9,cbu
Sneha_0,1,Sneha,32,1,3,4,cbu
Verity_0,1,Verity,32,0,3,3,cbu
Holly_0,1,Holly,32,1,3,2,cbu
